data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9438414,356,IND116373,116373,"04 August 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 4 August 2022, meat traders held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against the hike in abattoir fee collection by the Coimbatore Corporation. [size=no report]",0,1660054466,IND
9438422,356,IND116355,116355,"04 August 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","BJP: Bharatiya Janata Party; Hindu Munnani; Hindu Group (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 4 August 2022, hundreds of devotees, residents, members of BJP and Hindu Munnani held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against the demolition of Suyambu Thamburam Swamy Temple in the city. [size=hundreds]",0,1660054466,IND
9430764,356,IND115841,115841,"28 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 28 July 2022, over 40 members of Tamizhaga Vivasaigal Sangham (farmers' association) held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) demanding that High Tension lines should not pass through farm lands at Kallapalayam. [size=over 40]",0,1659451268,IND
9430465,356,IND115985,115985,"26 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"Indo-Asian News Service",Regional,"On 26 July 2022, parents staged a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against a private school forcing them to sign an indemnity bond that the school would not be responsible for any injury to their child inside the campus. [size=no report]",0,1659451268,IND
9430748,356,IND115895,115895,"26 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","INC: Indian National Congress",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 26 July 2022, nearly 200 members of Congress held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against the 'misuse' of central investigating agencies to target opposition politicians, referring to the summons issued by the Enforcement Directorate to the INC President for questioning in a suspected money laundering case. [size=nearly 200]",0,1659451268,IND
9430863,356,IND115828,115828,"23 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","BJP: Bharatiya Janata Party; BJP-MM: Bharatiya Janata Party Mahila Morcha; Women (India); Government of India (2014-)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"Times of India",National,"On 23 July 2022, as many as 300 members of BJP led by national women's wing (BJP-MM) president and an MLA held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) demanding that the DMK government drop its decision to increase power tariff. [size=as many as 300]",0,1659451269,IND
9405924,356,IND114582,114582,"05 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","BJP: Bharatiya Janata Party; Government of India (2014-); Former Government of India (2014-)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 5 July 2022, as many as 400 members of BJP along with an MLA and ex-MP held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against the DMK government over various issues like their scams in the government, DMK's opposition to the new army recruitment scheme, 'Agnipath', etc. [size=as many as 400]",0,1657637010,IND
9405923,356,IND114616,114616,"04 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 4 July 2022, conservancy workers engaged on contract basis by the Coimbatore Corporation, municipalities, town panchayats, and panchayats staged a protest at the Collectorate in Coimbatore city (Coimbatore district, Tamil Nadu) demanding better wages and job security. [size=no report]",0,1657637010,IND
9384844,356,IND114295,114295,"01 July 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 1 July 2022, 200 persons from the Coimbatore District Association for Deaf staged a protest at the Collectorate in Coimbatore city (Coimbatore district, Tamil Nadu) demanding 1% reservation in Tamil Nadu Public Service Commission Group IV exam, allotment of houses under the Chief Minister's Solar Powered Green House scheme, and sewing machine for the elderly. [size=200]",0,1657030216,IND
9384847,356,IND114250,114250,"30 June 2022",2022,1,Protests,"Peaceful protest","Protesters (India)","TMMK: Tamil Nadu Muslim Progress Conference; Muslim Group (India)",6,,,0,60,"South Asia",India,"Tamil Nadu",Coimbatore,"Coimbatore South",Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On 30 June 2022, members of Tamil Nadu Muslim Munnetra Kazhagam (TMMK) held a protest in Coimbatore city (Coimbatore district, Tamil Nadu) against the sealing of a mosque in Tiruppur city. [size=no report]",0,1657030216,IND
